time,surface_pressure (hPa),soil_moisture_0_to_7cm (m³/m³),et0_fao_evapotranspiration (mm),rain (mm),windspeed_10m (km/h),relativehumidity_2m (%),temperature_2m (°C),soil_temperature_0_to_7cm (°C),cloudcover (%),shortwave_radiation (W/m²),weathercode (wmo code)
2010-01-01,982.9958333333334,0.425375,0.98,37.9,25.429166666666664,83.54166666666667,11.295833333333334,12.208333333333334,76.66666666666667,1144.0,53
2010-01-02,990.1833333333334,0.40975,1.54,5.1,21.954166666666666,76.41666666666667,10.770833333333334,11.504166666666668,50.125,1792.0,61
2010-01-03,1001.9125,0.38999999999999996,1.48,0.0,11.358333333333334,59.25,7.720833333333334,10.008333333333333,39.583333333333336,1931.0,0
2010-01-04,1000.4791666666666,0.3975416666666667,0.59,11.3,9.025,77.58333333333333,7.633333333333333,8.8375,97.54166666666667,739.0,2
2010-01-05,988.9833333333332,0.42162499999999997,0.65,7.7,8.983333333333333,87.79166666666667,12.604166666666666,11.654166666666667,91.20833333333333,1105.0,53
2010-01-06,987.3125,0.4232916666666666,0.8,23.900000000000002,16.1125,86.70833333333333,11.791666666666666,12.0375,81.66666666666667,1379.0,53
2010-01-07,993.7416666666667,0.41312499999999996,1.04,7.9,10.229166666666666,83.75,11.408333333333333,11.954166666666666,54.708333333333336,2066.0,51
2010-01-08,986.7541666666666,0.4194583333333333,0.49,31.3,14.379166666666668,86.70833333333333,12.233333333333334,11.954166666666666,86.625,360.0,3
2010-01-09,986.7375000000001,0.4210416666666667,0.68,28.5,15.845833333333333,84.625,9.333333333333334,10.558333333333334,77.08333333333333,1094.0,61
2010-01-10,994.9166666666666,0.4254166666666666,0.84,10.0,9.554166666666667,81.375,7.6125,9.137500000000001,74.25,1876.0,53
2010-01-11,999.4291666666667,0.41733333333333333,0.6,5.8,5.858333333333333,80.375,7.483333333333333,8.745833333333334,96.0,912.0,51
2010-01-12,998.4125,0.403125,0.99,0.0,6.0874999999999995,78.70833333333333,7.204166666666667,8.170833333333333,20.666666666666668,2277.0,1
2010-01-13,992.8291666666668,0.4010416666666667,0.64,3.4,10.291666666666666,82.79166666666667,7.020833333333333,7.054166666666667,89.70833333333333,740.0,1
2010-01-14,994.6666666666666,0.3897083333333333,1.04,0.0,6.291666666666667,76.54166666666667,7.591666666666666,8.279166666666667,32.833333333333336,2232.0,2
2010-01-15,997.6416666666668,0.37958333333333333,1.29,0.1,17.724999999999998,76.70833333333333,8.479166666666666,8.608333333333333,51.333333333333336,1879.0,1
2010-01-16,1004.9416666666666,0.37037499999999995,1.54,0.0,13.745833333333332,68.41666666666667,8.295833333333333,9.083333333333334,11.541666666666666,2512.0,0
2010-01-17,1006.5208333333334,0.3669166666666666,0.48000000000000004,0.4,5.05,82.375,7.2875000000000005,8.095833333333333,81.54166666666667,813.0,1
2010-01-18,1005.3375,0.36424999999999996,1.24,0.0,10.895833333333334,76.95833333333333,7.941666666666666,8.6,21.75,2363.0,1
2010-01-19,1005.0416666666666,0.3577916666666667,1.24,0.0,6.208333333333333,70.79166666666667,7.383333333333333,7.995833333333334,7.25,2671.0,0
2010-01-20,1001.1875,0.35404166666666664,1.12,0.0,5.958333333333333,76.625,6.916666666666667,7.2625,37.083333333333336,2469.0,1
2010-01-21,998.375,0.35233333333333333,1.28,0.0,16.966666666666665,71.33333333333333,7.104166666666667,7.8,41.083333333333336,1704.0,3
2010-01-22,1002.6999999999999,0.3489166666666666,1.25,0.7,9.170833333333333,68.5,5.6875,7.2250000000000005,13.416666666666666,2346.0,0
2010-01-23,1006.4499999999999,0.3446666666666667,1.35,0.0,8.4625,63.625,4.804166666666666,6.179166666666667,10.583333333333334,2786.0,0
2010-01-24,1009.0916666666667,0.34112500000000007,1.11,0.0,4.145833333333333,73.91666666666667,5.404166666666666,5.616666666666667,10.708333333333334,2729.0,1
2010-01-25,1009.6208333333334,0.3399166666666667,1.04,1.3,10.112499999999999,75.95833333333333,6.175,6.070833333333333,61.583333333333336,1865.0,0
2010-01-26,1005.3833333333333,0.35341666666666666,0.98,2.8,11.254166666666668,75.625,8.262500000000001,8.137500000000001,88.20833333333333,1642.0,51
2010-01-27,997.4666666666667,0.42087499999999994,0.69,22.1,17.808333333333334,82.33333333333333,7.625,8.016666666666667,79.5,603.0,53
2010-01-28,990.1291666666666,0.39999999999999997,0.92,1.4,7.0,81.375,7.345833333333334,8.1625,75.95833333333333,2010.0,1
2010-01-29,983.5916666666667,0.3959166666666667,1.07,1.3,7.325,77.375,8.137500000000001,8.549999999999999,78.45833333333333,2096.0,3
2010-01-30,979.9083333333333,0.4170416666666667,1.05,20.1,13.304166666666667,79.70833333333333,9.3375,9.116666666666667,78.45833333333333,1712.0,51
2010-01-31,985.1291666666666,0.413,1.4000000000000001,3.2,18.900000000000002,67.0,8.229166666666666,8.65,47.333333333333336,1725.0,1
2010-02-01,995.1583333333333,0.39166666666666666,1.34,0.0,6.0375000000000005,59.75,5.5125,7.216666666666666,30.333333333333332,2853.0,1
2010-02-02,1004.1833333333334,0.3797916666666667,1.44,0.0,5.0249999999999995,60.25,4.458333333333333,5.079166666666667,15.166666666666666,3284.0,0
2010-02-03,1007.6541666666667,0.37883333333333336,0.8099999999999999,0.6000000000000001,3.9583333333333335,78.5,7.2,5.5249999999999995,64.375,1647.0,1
2010-02-04,1008.1875,0.37604166666666666,1.21,0.0,4.720833333333333,82.04166666666667,8.220833333333333,7.529166666666666,59.291666666666664,2344.0,2
